nObserver,ch,RT,splitL,splitR
12,-1,1.318668,0.820159,0.211254
12,1,1.574923,1,0.280016
12,1,1.202057,0.320126,0.509311
12,-1,0.744923,0.71024,0.014996
12,1,1.454647,0.893546,0.763335
12,-1,1.736754,0.028248,0.987498
12,1,5.928607,0.999553,0.380899
12,-1,1.01602,0.724624,0.175503
12,1,1.102337,0.010069,0.078832
12,-1,0.712468,0.494515,0
12,1,0.882192,0.21777,0.317803
12,-1,0.826244,0.589464,0.21136
12,1,1.375772,0.993489,0.624426
12,-1,1.190844,0.955732,0.237823
12,1,1.227311,0.828976,0.606663
12,-1,1.146653,0.214566,0.082155
12,-1,1.353563,0.821604,0.994479
12,1,0.930987,0.196361,0.392959
12,-1,1.591033,0.888406,0.088426
12,-1,1.211789,0.413792,0.293442
12,-1,1.334949,0.585794,0.323306
12,1,1.18889,0.988632,0.699392
13,-1,2.547916,0.514117,0.097379
13,1,0.980653,0.106873,0.187175
13,-1,0.606899,0.680349,0.287396
13,1,0.636489,0.186037,0.624981
13,1,0.564754,0.281012,1
13,1,0.601329,0.103421,0.803073
13,-1,0.706056,1,0.118021
13,1,0.419522,0,0.808355
13,-1,0.500601,0.737632,0.030994
13,1,1.802252,0.508403,0.694539
13,-1,0.58541,0.566277,0.406838
13,-1,0.414661,0.796883,0.218343
13,-1,0.457337,1,0.202417
13,1,0.666947,0,0.31383
13,1,0.642125,0.297004,0.384161
13,1,0.375638,0.19152,0.684174
13,-1,0.48236,0.998103,0.614862
13,1,0.43978,0.114772,0.883578
13,-1,0.472846,1,0.510868
13,-1,0.524704,0.783739,0.31047
13,1,0.494993,0,0.195022
13,1,0.573362,0.707129,0.893152
13,-1,0.645031,0.902594,0.424034
13,-1,0.60388,0.287666,0.099146
13,1,0.489689,0.177232,0.877077
13,-1,0.438338,0.899116,0.008822
13,-1,0.405687,1,0.892651
13,-1,0.556432,0.47956,0.196354
13,1,0.701771,0.281594,0.48235
13,-1,0.784153,0.576002,0.68123
13,1,0.961162,0.23298,0.279629
13,1,0.557125,0.377749,1
13,1,0.781725,0.390954,0.808165
13,-1,0.568162,0.62644,0.491721
13,-1,0.605952,0.389762,0
13,1,0.728584,0.389035,0.666842
13,1,0.519882,0.590103,0.79828
13,1,0.815581,0.352441,0.489797
13,-1,0.435034,0.511635,0
13,-1,0.416221,1,0.697617
13,-1,0.709013,0.938498,0.789461
13,1,0.659466,0.462554,0.875722
13,1,0.526309,0,0.096227
13,1,0.458733,0.090067,0.411062
13,-1,0.405606,0.903687,0.334784
13,-1,0.373243,0.632074,0.091458
13,1,0.435652,0.11215,0.689516
13,-1,0.499369,0.60619,0.289276
13,-1,0.4942,0.808691,0.527302
13,-1,0.485514,0.995842,0.808367
13,-1,0.742082,0.805159,0.67933
13,-1,0.367181,0.605758,0.003091
13,-1,0.355134,1,0.018519
13,-1,0.358416,0.89218,0.581096
13,-1,0.394844,0.399629,0.236325
14,-1,0.614719,0.774727,0.306028
14,1,1.49967,0.190352,0.379349
14,1,1.051805,0.026957,0.898196
14,-1,0.765668,0.957389,0.614873
14,-1,0.554722,0.919891,0.52232
14,-1,0.496183,0.788831,0.414479
14,1,0.840832,0.432979,0.726569
14,-1,0.820751,0.324634,0.185128
14,-1,0.619705,1,0.718287
14,1,0.852644,0.475538,0.71118
14,1,0.921503,0.676153,0.767679
14,1,0.747288,0.065755,0.465898
14,1,0.854868,0.530685,0.789475
